"","Open","High","Low","Close","Volume","AdjClose"
"1927-12-30",17.6599998474121,17.6599998474121,17.6599998474121,17.6599998474121,0,17.6599998474121
"1928-01-03",17.7600002288818,17.7600002288818,17.7600002288818,17.7600002288818,0,17.7600002288818
"1928-01-04",17.7199993133545,17.7199993133545,17.7199993133545,17.7199993133545,0,17.7199993133545
"1928-01-05",17.5499992370605,17.5499992370605,17.5499992370605,17.5499992370605,0,17.5499992370605
"1928-01-06",17.6599998474121,17.6599998474121,17.6599998474121,17.6599998474121,0,17.6599998474121
"1928-01-09",17.5,17.5,17.5,17.5,0,17.5
"1928-01-10",17.3700008392334,17.3700008392334,17.3700008392334,17.3700008392334,0,17.3700008392334
"1928-01-11",17.3500003814697,17.3500003814697,17.3500003814697,17.3500003814697,0,17.3500003814697
"1928-01-12",17.4699993133545,17.4699993133545,17.4699993133545,17.4699993133545,0,17.4699993133545
"1928-01-13",17.5799999237061,17.5799999237061,17.5799999237061,17.5799999237061,0,17.5799999237061
"1928-01-16",17.2900009155273,17.2900009155273,17.2900009155273,17.2900009155273,0,17.2900009155273
"1928-01-17",17.2999992370605,17.2999992370605,17.2999992370605,17.2999992370605,0,17.2999992370605
"1928-01-18",17.2600002288818,17.2600002288818,17.2600002288818,17.2600002288818,0,17.2600002288818
"1928-01-19",17.3799991607666,17.3799991607666,17.3799991607666,17.3799991607666,0,17.3799991607666
"1928-01-20",17.4799995422363,17.4799995422363,17.4799995422363,17.4799995422363,0,17.4799995422363
"1928-01-23",17.6399993896484,17.6399993896484,17.6399993896484,17.6399993896484,0,17.6399993896484
"1928-01-24",17.7099990844727,17.7099990844727,17.7099990844727,17.7099990844727,0,17.7099990844727
"1928-01-25",17.5200004577637,17.5200004577637,17.5200004577637,17.5200004577637,0,17.5200004577637
"1928-01-26",17.6299991607666,17.6299991607666,17.6299991607666,17.6299991607666,0,17.6299991607666
"1928-01-27",17.6900005340576,17.6900005340576,17.6900005340576,17.6900005340576,0,17.6900005340576
"1928-01-30",17.4899997711182,17.4899997711182,17.4899997711182,17.4899997711182,0,17.4899997711182
"1928-01-31",17.5699996948242,17.5699996948242,17.5699996948242,17.5699996948242,0,17.5699996948242
"1928-02-01",17.5300006866455,17.5300006866455,17.5300006866455,17.5300006866455,0,17.5300006866455
"1928-02-02",17.6299991607666,17.6299991607666,17.6299991607666,17.6299991607666,0,17.6299991607666
"1928-02-03",17.3999996185303,17.3999996185303,17.3999996185303,17.3999996185303,0,17.3999996185303
"1928-02-06",17.4500007629395,17.4500007629395,17.4500007629395,17.4500007629395,0,17.4500007629395
"1928-02-07",17.4400005340576,17.4400005340576,17.4400005340576,17.4400005340576,0,17.4400005340576
"1928-02-08",17.4899997711182,17.4899997711182,17.4899997711182,17.4899997711182,0,17.4899997711182
"1928-02-09",17.5499992370605,17.5499992370605,17.5499992370605,17.5499992370605,0,17.5499992370605
"1928-02-10",17.5400009155273,17.5400009155273,17.5400009155273,17.5400009155273,0,17.5400009155273
"1928-02-14",17.4400005340576,17.4400005340576,17.4400005340576,17.4400005340576,0,17.4400005340576
"1928-02-15",17.3999996185303,17.3999996185303,17.3999996185303,17.3999996185303,0,17.3999996185303
"1928-02-16",17.3500003814697,17.3500003814697,17.3500003814697,17.3500003814697,0,17.3500003814697
"1928-02-17",17.0400009155273,17.0400009155273,17.0400009155273,17.0400009155273,0,17.0400009155273
"1928-02-20",16.9500007629395,16.9500007629395,16.9500007629395,16.9500007629395,0,16.9500007629395
"1928-02-21",17.1100006103516,17.1100006103516,17.1100006103516,17.1100006103516,0,17.1100006103516
"1928-02-23",17.1299991607666,17.1299991607666,17.1299991607666,17.1299991607666,0,17.1299991607666
"1928-02-24",17.1800003051758,17.1800003051758,17.1800003051758,17.1800003051758,0,17.1800003051758
"1928-02-27",17.1100006103516,17.1100006103516,17.1100006103516,17.1100006103516,0,17.1100006103516
"1928-02-28",17.1599998474121,17.1599998474121,17.1599998474121,17.1599998474121,0,17.1599998474121
"1928-02-29",17.2600002288818,17.2600002288818,17.2600002288818,17.2600002288818,0,17.2600002288818
